a-dara-HEX-2:5|2:keto	154731463,154724039,146158722,146157937,146157565,146157284,146156887,146037861,146037392,146037149,146036979,145944436,145944434,145925779,145865167,145714523,145714509,145714470,145714356,145705936
a-dgal-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-dgal-HEX-1:5|6:d	154827428,154827333,154827332,154827331,154827328,154827190,154827189,154827188,154827187,154827184,154827183,154827180,154827179,154827178,154827177,154827163,154827162,154827160,154827157,154827155
a-dglc-HEX-1:4|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-dglc-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-dglc-HEX-1:5|6:d	154827428,154827333,154827332,154827331,154827328,154827190,154827189,154827188,154827187,154827184,154827183,154827180,154827179,154827178,154827177,154827163,154827162,154827160,154827157,154827155
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d	154827465,154827464,154827463,154827462,154827461,154827460,154827459,154827458,154827457,154827456,154827455,154827454,154827453,154827452,154827451,154827450,154827449,154827448,154827447,154827446
a-dido-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-dman-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-dman-HEX-1:5|6:d	154827428,154827333,154827332,154827331,154827328,154827190,154827189,154827188,154827187,154827184,154827183,154827180,154827179,154827178,154827177,154827163,154827162,154827160,154827157,154827155
a-dman-OCT-2:6|1:a|2:keto|3:d	154827465,154827464,154827463,154827462,154827461,154827460,154827459,154827458,154827457,154827456,154827455,154827454,154827453,154827452,154827451,154827450,154827449,154827448,154827447,154827446
a-dxyl-PEN-1:5	154572568,154572567,139292024,139291882,139209017,138397979,135804136,131751243,119057288,102224102,101709716,101699060,101699059,101677706,101677705,101677704,101677703,101631955,101631954,101631953
a-HEP-1:5	129900215,85470834,67205676,54164269,51351789,49792020,49792019,46878553,45480597,45480573,44153551,24212126,17379022,17377178,17376886,16404051,10041593,6471066,6443433,5317598
a-HEX-1:5	154825200,154825199,154815687,154788847,154785394,154783480,154775818,154762577,154762574,154762555,154760024,154730626,154729637,154721469,154721354,154721319,154721218,154720395,154719881,154719584
a-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
a-lara-PEN-1:4	135984698,135984684,135564925,134825125,134692794,131715543,131715542,131648254,131648253,129814423,122173045,119057287,102090456,102014213,101871852,101871851,101871850,101688696,101652534,101652533
a-lgal-HEX-1:5	154825200,154825199,154815687,154788847,154785394,154783480,154775818,154762577,154762574,154762555,154760024,154730626,154729637,154721469,154721354,154721319,154721218,154720395,154719881,154719584
a-lgal-HEX-1:5|6:d	154827428,154827333,154827332,154827331,154827328,154827190,154827189,154827188,154827187,154827184,154827183,154827180,154827179,154827178,154827177,154827163,154827162,154827160,154827157,154827155
a-lglc-HEX-1:5|6:a	154827457,154827455,154827450,154827445,154827442,154827440,154827439,154827438,154827435,154827432,154827431,154827430,154827429,154827428,154827425,154827424,154827422,154827420,154827419,154827417
